id,coleccion,nivel,estado,producto,categoria,servicio,tacticas,fp_declarado,fp_sustantivo
5498fc09-adc6-4804-b9d9-5cca1f0b8760,rules,high,test,opencanary,application,,command-and-control|initial-access,1,0
3ec9a16d-0b4f-4967-9542-ebf38ceac7dd,rules,high,test,opencanary,application,,collection|credential-access,1,0
6e78f90f-0043-4a01-ac41-f97681613a66,rules,high,test,opencanary,application,,collection|credential-access,1,0
e7d79a1b-25ed-4956-bd56-bd344fa8fd06,rules,high,test,opencanary,application,,collection|credential-access,1,0
7cded4b3-f09e-405a-b96f-24248433ba44,rules,high,test,opencanary,application,,impact,1,0
eae8c0c8-e5da-450a-9d7d-66aa56cd26b6,rules,high,experimental,opencanary,application,,discovery,1,0
68b8547b-107f-43f3-97fb-900a7d63c190,rules,high,experimental,opencanary,application,,discovery,1,0
e8a677fd-248c-4eab-94df-de2f6f645884,rules,high,experimental,opencanary,application,,discovery,1,0
d7553d7b-f485-479c-b192-cdac6edd83a4,rules,high,experimental,opencanary,application,,discovery,1,0
974be8d2-283e-4033-ab08-7505b84204d0,rules,high,experimental,opencanary,application,,discovery,1,0
598290cf-5932-45cd-9123-be1e05ab4f2e,rules,high,experimental,opencanary,application,,initial-access|lateral-movement|persistence,1,0
547dfc53-ebf6-4afe-8d2e-793d9574975d,rules,high,test,opencanary,application,,collection|credential-access,1,0
e30de276-68ec-435c-ab99-ef3befec6c61,rules,high,test,opencanary,application,,collection,1,0
22777c9e-873a-4b49-855f-6072ab861a52,rules,high,test,opencanary,application,,collection|lateral-movement,1,0
e9856028-fd4e-46e6-b3d1-10f7ceb95078,rules,high,test,opencanary,application,,discovery|lateral-movement,1,0
ff7139bc-fdb1-4437-92f2-6afefe8884cb,rules,high,test,opencanary,application,,initial-access|lateral-movement|persistence|privilege-escalation|stealth,1,0
cd55f721-5623-4663-bd9b-5229cab5237d,rules,high,test,opencanary,application,,initial-access|lateral-movement|persistence|privilege-escalation|stealth,1,0
512cff7a-683a-43ad-afe0-dd398e872f36,rules,high,test,opencanary,application,,command-and-control|initial-access|persistence|privilege-escalation|stealth,1,0
b4e6b016-a2ac-4759-ad85-8000b300d61e,rules,high,test,opencanary,application,,exfiltration,1,0
9db5446c-b44a-4291-8b89-fcab5609c3b3,rules,high,test,opencanary,application,,lateral-movement,1,0
19aefed0-ffd4-47dc-a7fc-f8b1425e84f9,rules,medium,stable,python,application,,initial-access,1,1
0fcd1c79-4eeb-4746-aba9-1b458f7a79cb,rules,high,test,rpc_firewall,application,,execution|lateral-movement|persistence|privilege-escalation,1,0
f177f2bc-5f3e-4453-b599-57eefce9a59c,rules,high,test,rpc_firewall,application,,discovery,1,0
56fda488-113e-4ce9-8076-afc2457922c3,rules,high,test,rpc_firewall,application,,discovery,1,0
5f92fff9-82e2-48eb-8fc1-8b133556a551,rules,high,test,rpc_firewall,application,,lateral-movement,1,1
2053961f-44c7-4a64-b62d-f6e72800af0d,rules,high,test,rpc_firewall,application,,discovery,1,1
ace3ff54-e7fd-46bd-8ea0-74b49a0aca1d,rules,high,test,rpc_firewall,application,,execution|lateral-movement|persistence|privilege-escalation,1,0
7f7c49eb-2977-4ac8-8ab0-ab1bae14730e,rules,high,test,rpc_firewall,application,,discovery,1,0
bc3a4b0c-e167-48e1-aa88-b3020950e560,rules,high,test,rpc_firewall,application,,lateral-movement,1,1
68050b10-e477-4377-a99b-3721b422d6ef,rules,high,test,rpc_firewall,application,,execution|lateral-movement,1,1
35c55673-84ca-4e99-8d09-e334f3c29539,rules,high,test,rpc_firewall,application,,defense-impairment|lateral-movement|persistence,1,1
d8ffe17e-04be-4886-beb9-c1dd1944b9a8,rules,high,test,rpc_firewall,application,,discovery,1,1
b6ea3cc7-542f-43ef-bbe4-980fbed444c7,rules,high,test,rpc_firewall,application,,lateral-movement,1,1
10018e73-06ec-46ec-8107-9172f1e04ff2,rules,high,test,rpc_firewall,application,,execution|lateral-movement,1,1
aff229ab-f8cd-447b-b215-084d11e79eb0,rules,high,test,rpc_firewall,application,,execution|lateral-movement|persistence|privilege-escalation,1,0
0a3ff354-93fc-4273-8a03-1078782de5b7,rules,high,test,rpc_firewall,application,,discovery,1,0
65f77b1e-8e79-45bf-bb67-5988a8ce45a5,rules,high,test,rpc_firewall,application,,discovery,1,0
6d580420-ff3f-4e0e-b6b0-41b90c787e28,rules,high,test,rpc_firewall,application,,discovery,1,0
0d2c3d4c-4b48-4ac3-8f23-ea845746bb1a,rules,medium,stable,ruby_on_rails,application,,initial-access,1,1
ae48ab93-45f7-4051-9dfe-5d30a3f78e33,rules,medium,stable,spring,application,,initial-access,1,1
e9edd087-89d8-48c9-b0b4-5b9bb10896b8,rules,high,test,spring,application,,initial-access,1,1
8a670c6d-7189-4b1c-8017-a417ca84a086,rules,high,test,sql,application,,initial-access,1,1
16c86189-b556-4ee8-b4c7-7e350a195a4f,rules,high,test,velocity,application,,initial-access,1,1
101a1877-2cf4-474d-abfd-7f6ac4788d1a,rules,critical,experimental,,antivirus,,command-and-control|execution,1,0
238527ad-3c2c-4e4f-a1f6-92fd63adb864,rules,critical,stable,,antivirus,,command-and-control|execution,1,0
fa0c05b6-8ad3-468d-8231-c1cbccb64fba,rules,high,stable,,antivirus,,execution,1,0
78cc2dd2-7d20-4d32-93ff-057084c38b93,rules,critical,stable,,antivirus,,credential-access,1,0
4c6ca276-d4d0-4a8c-9e4c-d69832f8671f,rules,critical,test,,antivirus,,impact,1,0
c9a88268-0047-4824-ba6e-4d81ce0b907c,rules,high,test,,antivirus,,resource-development,1,0
97233998-3838-4581-88c6-f1d19d3993fb,rules,critical,experimental,,antivirus,,command-and-control|execution,1,0
fdf135a2-9241-4f96-a114-bb404948f736,rules,high,test,,antivirus,,persistence,1,0
d84c0ded-edd7-4123-80ed-348bb3ccc4d5,rules,medium,test,,database,,exfiltration|initial-access|persistence|privilege-escalation,1,1
59b70e4d-dd17-44a9-b740-acf07ae3eb6a,rules,medium,experimental,aws,,cloudtrail,defense-impairment,1,1
1c722651-254a-4b04-a9f4-99b62a2d0a1f,rules,medium,experimental,aws,,cloudtrail,defense-impairment,1,1
39c9f26d-6e3b-4dbb-9c7a-4154b0281112,rules,medium,experimental,aws,,cloudtrail,stealth,1,1
6393e346-1977-46ef-8987-ad414a145fad,rules,medium,experimental,aws,,cloudtrail,credential-access,1,1
77caf516-34e5-4df9-b4db-20744fea0a60,rules,medium,experimental,aws,,cloudtrail,initial-access|persistence|privilege-escalation|stealth,1,0
4db60cc0-36fb-42b7-9b58-a5b53019fb74,rules,medium,test,aws,,cloudtrail,defense-impairment,1,1
d2656e78-c069-4571-8220-9e0ab5913f19,rules,high,experimental,aws,,cloudtrail,defense-impairment,1,1
352a918a-34d8-4882-8470-44830c507aa3,rules,high,test,aws,,cloudtrail,initial-access|persistence|privilege-escalation|stealth,1,1
e1f7febb-7b94-4234-b5c6-00fb8500f5dd,rules,low,test,aws,,cloudtrail,defense-impairment,1,1
c803b2ce-c4a2-4836-beae-b112010390b1,rules,medium,test,aws,,cloudtrail,defense-impairment,1,1
a840e606-7c8c-4684-9bc1-eb6b6155127f,rules,medium,experimental,aws,,cloudtrail,credential-access,1,1
a5ffb6ea-c784-4e01-b30a-deb6e58ca2ab,rules,medium,experimental,aws,,cloudtrail,persistence,1,1
6fb77778-040f-4015-9440-572aa9b6b580,rules,medium,test,aws,,cloudtrail,initial-access,1,1
7a4409fc-f8ca-45f6-8006-127d779eaad9,rules,medium,test,aws,,cloudtrail,initial-access,1,1
14f3f1c8-02d5-43a2-a191-91ffb52d3015,rules,medium,test,aws,,cloudtrail,initial-access,1,1
38e7f511-3f74-41d4-836e-f57dfa18eead,rules,high,test,aws,,cloudtrail,initial-access|privilege-escalation,1,1
e386b9b5-af12-450e-afff-761730fb8a98,rules,high,experimental,aws,,cloudtrail,stealth,1,1
07330162-dba1-4746-8121-a9647d49d297,rules,high,test,aws,,cloudtrail,defense-impairment,1,1
f8103686-e3e8-46f3-be72-65f7fcb4aa53,rules,medium,test,aws,,cloudtrail,lateral-movement,1,1
20f754db-d025-4a8f-9d74-e0037e999a9a,rules,medium,test,aws,,cloudtrail,stealth,1,0
ccd6a6c8-bb4e-4a91-9d2a-07e632819374,rules,medium,experimental,aws,,cloudtrail,impact|initial-access|persistence|privilege-escalation|stealth,1,1
a136ac98-b2bc-4189-a14d-f0d0388e57a7,rules,medium,test,aws,,cloudtrail,impact,1,1
16124c2d-e40b-4fcc-8f2c-5ab7870a2223,rules,medium,stable,aws,,cloudtrail,impact,1,1
92f84194-8d9a-4ee0-8699-c30bfac59780,rules,medium,experimental,aws,,cloudtrail,initial-access|persistence|privilege-escalation|stealth,1,1
1ab3c5ed-5baf-417b-bb6b-78ca33f6c3df,rules,high,test,aws,,cloudtrail,execution,1,1
54b9a76a-3c71-4673-b4b3-2edb4566ea7b,rules,low,test,aws,,cloudtrail,collection|exfiltration,0,0
b94bf91e-c2bf-4047-9c43-c6810f43baad,rules,medium,test,aws,,cloudtrail,persistence,1,1
25cb1ba1-8a19-4a23-a198-d252664c8cef,rules,medium,test,aws,,cloudtrail,impact,1,0
6a7ba45c-63d8-473e-9736-2eaabff79964,rules,medium,test,aws,,cloudtrail,impact,1,0
33d50d03-20ec-4b74-a74e-1e65a38af1c0,rules,low,test,aws,,cloudtrail,impact,1,1
4ae68615-866f-4304-b24b-ba048dfa5ca7,rules,low,test,aws,,cloudtrail,persistence,1,1
