mes,cisa_kev,eu_kev
2025-01,14,12
2025-02,27,1
2025-03,32,0
2025-04,15,0
2025-05,24,0
2025-06,20,0
2025-07,20,5
2025-08,15,0
2025-09,16,1
2025-10,31,0
2025-11,11,0
2025-12,20,0
2026-01,17,4
2026-02,28,0
2026-03,26,1
2026-04,31,6
2026-05,21,1
2026-06,23,1
2026-07,26,4
2026-08,31,12
2026-09,22,7
