termino,consulta,anio,recuento
agentic,"abs:""agentic""",2025,10726
agent,"abs:""agent""",2025,10726
reasoning,"abs:""reasoning""",2025,15860
reason,"abs:""reason""",2025,15860
neurosymbolic,"abs:""neurosymbolic""",2025,119
neuro-symbolic,"abs:""neuro-symbolic""",2025,223
chain-of-thought,"abs:""chain-of-thought""",2025,2352
chain of thought,"abs:""chain of thought""",2025,2352
