codigo,categoria,bloque,materia,codigo_id,fecha_actualizacion,url_codigo,pdf_url,epub_url,marca_tiempo
Defensor del Pueblo y figuras similares en las CC.AA.,Derecho Constitucional,constitucional,constitucional,619_Defensor_del_Pueblo_y_figuras_similares_en_las_CCAA,24/06/2026,https://www.boe.es/biblioteca_juridica/codigos/codigo.php?id=619_Defensor_del_Pueblo_y_figuras_similares_en_las_CCAA&tipo=C&modo=2,https://www.boe.es/biblioteca_juridica/codigos/abrir_pdf.php?fich=619_Defensor_del_Pueblo_y_figuras_similares_en_las_CCAA.pdf,https://www.boe.es/biblioteca_juridica/codigos/abrir_epub.php?fich=619_Defensor_del_Pueblo_y_figuras_similares_en_las_CCAA.epub,2026-09-11T05:30:01Z
Código del Ministerio Fiscal,Derecho Constitucional,constitucional,constitucional,280_Codigo_del_Ministerio_Fiscal,09/07/2026,https://www.boe.es/biblioteca_juridica/codigos/codigo.php?id=280_Codigo_del_Ministerio_Fiscal&tipo=C&modo=2,https://www.boe.es/biblioteca_juridica/codigos/abrir_pdf.php?fich=280_Codigo_del_Ministerio_Fiscal.pdf,https://www.boe.es/biblioteca_juridica/codigos/abrir_epub.php?fich=280_Codigo_del_Ministerio_Fiscal.epub,2026-09-11T05:30:01Z
Código Parlamentario (Normativa estatal),Derecho Constitucional,constitucional,constitucional,246_Codigo_Parlamentario_Normativa_estatal,28/07/2026,https://www.boe.es/biblioteca_juridica/codigos/codigo.php?id=246_Codigo_Parlamentario_Normativa_estatal&tipo=C&modo=2,https://www.boe.es/biblioteca_juridica/codigos/abrir_pdf.php?fich=246_Codigo_Parlamentario_Normativa_estatal.pdf,https://www.boe.es/biblioteca_juridica/codigos/abrir_epub.php?fich=246_Codigo_Parlamentario_Normativa_estatal.epub,2026-09-11T05:30:01Z
Código de Extranjería,Derecho Constitucional,constitucional,constitucional,070_Codigo_de_Extranjeria,15/04/2026,https://www.boe.es/biblioteca_juridica/codigos/codigo.php?id=070_Codigo_de_Extranjeria&tipo=C&modo=2,https://www.boe.es/biblioteca_juridica/codigos/abrir_pdf.php?fich=070_Codigo_de_Extranjeria.pdf,https://www.boe.es/biblioteca_juridica/codigos/abrir_epub.php?fich=070_Codigo_de_Extranjeria.epub,2026-09-11T05:30:01Z
Igualdad de Género,Derecho Constitucional,constitucional,constitucional,304_Igualdad_de_Genero_,15/06/2026,https://www.boe.es/biblioteca_juridica/codigos/codigo.php?id=304_Igualdad_de_Genero_&tipo=C&modo=2,https://www.boe.es/biblioteca_juridica/codigos/abrir_pdf.php?fich=304_Igualdad_de_Genero_.pdf,https://www.boe.es/biblioteca_juridica/codigos/abrir_epub.php?fich=304_Igualdad_de_Genero_.epub,2026-09-11T05:30:01Z
Código de Víctimas del Terrorismo,Derecho Constitucional,constitucional,constitucional,615_Codigo_de_Victimas_del_Terrorismo,18/05/2026,https://www.boe.es/biblioteca_juridica/codigos/codigo.php?id=615_Codigo_de_Victimas_del_Terrorismo&tipo=C&modo=2,https://www.boe.es/biblioteca_juridica/codigos/abrir_pdf.php?fich=615_Codigo_de_Victimas_del_Terrorismo.pdf,https://www.boe.es/biblioteca_juridica/codigos/abrir_epub.php?fich=615_Codigo_de_Victimas_del_Terrorismo.epub,2026-09-11T05:30:01Z
Código de Libertad Religiosa,Derecho Constitucional,constitucional,constitucional,104_Codigo_de_Libertad_Religiosa,09/04/2026,https://www.boe.es/biblioteca_juridica/codigos/codigo.php?id=104_Codigo_de_Libertad_Religiosa&tipo=C&modo=2,https://www.boe.es/biblioteca_juridica/codigos/abrir_pdf.php?fich=104_Codigo_de_Libertad_Religiosa.pdf,https://www.boe.es/biblioteca_juridica/codigos/abrir_epub.php?fich=104_Codigo_de_Libertad_Religiosa.epub,2026-09-11T05:30:01Z
Código de confesiones y entidades religiosas,Derecho Constitucional,constitucional,constitucional,444_Codigo_de_confesiones_y_entidades_religiosas_,27/05/2026,https://www.boe.es/biblioteca_juridica/codigos/codigo.php?id=444_Codigo_de_confesiones_y_entidades_religiosas_&tipo=C&modo=2,https://www.boe.es/biblioteca_juridica/codigos/abrir_pdf.php?fich=444_Codigo_de_confesiones_y_entidades_religiosas_.pdf,https://www.boe.es/biblioteca_juridica/codigos/abrir_epub.php?fich=444_Codigo_de_confesiones_y_entidades_religiosas_.epub,2026-09-11T05:30:01Z
Libertad Religiosa: Derecho Mortuorio,Derecho Constitucional,constitucional,constitucional,389_Libertad_Religiosa_Derecho_Mortuorio,25/08/2025,https://www.boe.es/biblioteca_juridica/codigos/codigo.php?id=389_Libertad_Religiosa_Derecho_Mortuorio&tipo=C&modo=2,https://www.boe.es/biblioteca_juridica/codigos/abrir_pdf.php?fich=389_Libertad_Religiosa_Derecho_Mortuorio.pdf,https://www.boe.es/biblioteca_juridica/codigos/abrir_epub.php?fich=389_Libertad_Religiosa_Derecho_Mortuorio.epub,2026-09-11T05:30:01Z
Código de los Ministros de Culto,Derecho Constitucional,constitucional,constitucional,486_Codigo_de_los_Ministros_de_Culto,29/10/2025,https://www.boe.es/biblioteca_juridica/codigos/codigo.php?id=486_Codigo_de_los_Ministros_de_Culto&tipo=C&modo=2,https://www.boe.es/biblioteca_juridica/codigos/abrir_pdf.php?fich=486_Codigo_de_los_Ministros_de_Culto.pdf,https://www.boe.es/biblioteca_juridica/codigos/abrir_epub.php?fich=486_Codigo_de_los_Ministros_de_Culto.epub,2026-09-11T05:30:01Z
